,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state
67,SHOPPING_MALL,,2019-09-01,38.599881,-121.425544,1701 Arden Way,Sacramento,95815,CA
68,RESTAURANT,,2019-09-01,38.46395,-121.492388,8152 Delta Shores Cir S,Sacramento,95832,CA
69,RESTAURANT,,2019-09-01,38.462303,-121.492156,8200 Delta Shores Cir S,Sacramento,95832,CA
70,SHOPPING_MALL,,2019-09-01,47.042021,-122.938312,625 Black Lake Blvd,Olympia,98502,WA
71,SHOPPING_MALL,,2019-09-01,47.04259,-122.936467,625 Black Lake Blvd,Olympia,98502,WA
72,SHOPPING_MALL,,2019-09-01,47.042849,-122.934578,625 Black Lake Blvd,Olympia,98502,WA
73,SHOPPING_MALL,,2019-09-01,47.459988,-122.259089,500 Southcenter Mall,Tukwila,98188,WA
74,OTHER_ENTERTAINMENT,,2019-09-01,47.578664,-122.170463,3505 Factoria Blvd SE,Bellevue,98006,WA
75,SHOPPING_CENTER,,2019-09-01,47.622046,-122.321607,401 Broadway E,Seattle,98102,WA
76,SHOPPING_CENTER,,2019-09-01,47.662343,-122.370015,907 NW Ballard Way,Seattle,98107,WA
77,GROCERY,,2019-09-01,47.682585,-122.317187,7300 Roosevelt Way NE,Seattle,98115,WA
78,OTHER_ENTERTAINMENT,,2019-09-01,47.701879,-122.343086,10006 Aurora Ave N,Seattle,98133,WA
79,SHOPPING_MALL,,2019-09-01,47.614102,-122.034147,510 228th Ave NE,Sammamish,98074,WA
80,SHOPPING_CENTER,,2019-09-01,47.583103,-122.033895,3016 Issaquah-Pine Lake Rd SE,Sammamish,98075,WA
81,OTHER_ENTERTAINMENT,,2019-09-01,47.543753,-122.017313,1451 Highlands Dr NE,Issaquah,98029,WA
82,SHOPPING_MALL,,2019-09-01,47.656979,-122.692138,10315 Silverdale Way NW,Silverdale,98383,WA
83,SHOPPING_MALL,,2019-09-01,47.658808,-122.688751,10315 Silverdale Way NW,Silverdale,98383,WA
84,OTHER_ENTERTAINMENT,,2019-09-01,33.215724,-96.663173,1701 Hardin Blvd,McKinney,75071,TX
85,OTHER_ENTERTAINMENT,,2019-09-01,33.143928,-96.67455,921 TX-121,Allen,75013,TX
86,OTHER_ENTERTAINMENT,,2019-09-01,32.999277,-97.218137,850 E Highway 114,Roanoke,76262,TX
87,OTHER_ENTERTAINMENT,,2019-09-01,32.592598,-96.949892,280 Uptown Blvd,Cedar Hill,75104,TX
88,SHOPPING_MALL,,2019-09-01,30.535455,-97.817928,5001 183A Toll Rd,Cedar Park,78613,TX
89,SHOPPING_MALL,,2019-09-01,29.813695,-95.398583,3004 Yale St,Houston,77081,TX
90,SHOPPING_MALL,,2019-09-01,33.511543,-112.029604,2410 E Camelback Rd,Phoenix,85016,AZ
91,SHOPPING_MALL,,2019-09-01,33.637133,-112.223312,7665 W Bell Rd,Peoria,85382,AZ
92,GROCERY,,2019-09-01,33.584634,-111.97883,10810 N Tatum Blvd,Phoenix,85028,AZ
93,HOSPITAL,,2019-09-01,33.583246,-111.975957,10655 N Tatum Blvd,Phoenix,85028,AZ
94,SHOPPING_MALL,,2019-09-01,33.623208,-111.928076,7030 E Greenway Pkwy,Scottsdale,85254,AZ
95,SHOPPING_MALL,,2019-09-01,33.623186,-111.92404,15059 N Scottsdale Rd,Scottsdale,85254,AZ
96,SHOPPING_MALL,,2019-09-01,33.625327,-111.924022,15059 N Scottsdale Rd,Scottsdale,85254,AZ
97,RESTAURANT,,2019-09-01,33.634869,-111.924212,16243 N Scottsdale Rd,Scottsdale,85254,AZ
98,GROCERY,,2019-09-01,33.654212,-111.927221,7111 E Mayo Blvd,Phoenix,85054,AZ
99,OTHER_ENTERTAINMENT,,2019-09-01,33.317569,-111.976979,4711 E Ray Rd,Phoenix,85044,AZ
100,GROCERY,,2017-07-05,33.318877,-111.892851,2955 W Ray Rd,Chandler,85224,AZ
101,SHOPPING_CENTER,,2019-12-12,34.185876,-118.890055,350 W Hillcrest Dr,Thousand Oaks,91360,CA
